university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
165,423,27.2,490,17.2,179,48.3,601,2.2,170,64.6,448.0,15.6,486.0,24.1,,,,,,
166,1175,,501,7.2,501,9.2,601,18.1,601,2.3,601.0,1.0,601.0,1.5,,,,,,
167,403,28.0,400,20.7,434,21.2,135,80.3,601,3.8,601.0,3.6,601.0,9.3,,,,,,
168,436,26.6,351,24.0,501,8.9,306,50.5,571,18.3,336.0,37.1,601.0,7.4,,,,,,
169,597,,501,14.0,501,15.0,253,60.6,601,2.0,601.0,1.2,601.0,11.0,,,,,,
170,9,95.4,14,99.4,13,98.9,38,99.0,108,78.0,85.0,99.5,12.0,100.0,,,,,,
171,557,,333,25.4,224,42.3,601,7.8,506,24.1,601.0,4.2,601.0,13.1,,,,,,
172,808,,501,13.1,416,22.5,601,19.6,601,7.8,,,601.0,1.1,,,,,,
173,443,26.3,501,13.2,501,4.0,162,75.4,601,9.1,246.0,63.3,601.0,9.0,,,,,,
174,904,,355,23.6,462,19.3,601,6.2,601,2.8,601.0,2.9,601.0,1.3,,,,,,
175,4,98.7,2,100.0,2,100.0,10,100.0,48,92.1,57.0,100.0,64.0,97.7,,,,,,
176,925,,483,17.5,410,22.9,601,8.0,601,2.3,601.0,1.3,601.0,1.0,,,,,,
177,747,,501,2.9,501,6.6,601,1.6,187,61.8,,,328.0,43.1,,,,,,
178,46,77.1,27,97.6,34,94.2,294,52.7,300,46.8,173.0,89.1,156.0,79.0,,,,,,
179,115,57.0,109,62.0,130,58.9,382,41.0,179,63.7,466.0,14.4,127.0,87.6,,,,,,
180,660,,501,6.0,501,11.0,212,66.5,601,4.4,601.0,1.0,601.0,6.8,,,,,,
181,126,55.4,105,65.1,285,33.0,406,38.9,249,53.4,183.0,86.3,230.0,60.4,,,,,,
182,375,29.6,501,6.6,501,8.7,26,99.8,601,13.9,575.0,6.9,246.0,57.4,,,,,,
183,584,,501,7.6,501,8.4,601,23.4,601,14.9,33.0,100.0,158.0,78.5,,,,,,
