university_id,academic reputation rank,academic reputation score
749,482.0,17.3
750,61.0,83.8
751,218.0,38.3
752,,
753,360.0,23.5
754,501.0,12.8
755,,
756,,
757,,
758,,
759,431.0,19.6
760,137.0,54.6
761,126.0,58.6
762,425.0,19.7
763,24.0,98.1
764,,
765,213.0,38.9
766,501.0,14.9
767,,
768,,
769,,
770,,
771,,
772,,
773,501.0,6.4
774,156.0,50.4
775,43.0,90.0
776,,
777,256.0,33.0
778,275.0,30.8
779,,
780,220.0,37.6
781,501.0,11.2
782,,
783,,
784,458.0,18.3
785,,
786,,
787,,
788,,
789,,
790,198.0,41.7
791,,
792,501.0,9.8
793,,
794,59.0,84.9
795,,
796,348.0,24.4
797,,
798,,
799,,
800,,
801,47.0,88.9
802,83.0,72.8
803,373.0,22.5
804,289.0,28.9
805,,
806,307.0,27.5
807,472.0,17.8
808,79.0,73.9
809,393.0,20.9
810,,
811,406.0,20.2
812,346.0,24.5
813,245.0,34.3
814,,
815,,
816,,
817,,
818,382.0,21.7
819,501.0,11.6
820,,
821,92.0,68.8
822,476.0,17.7
823,235.0,35.1
824,147.0,52.0
825,244.0,34.4
826,274.0,30.9
827,,
828,,
829,501.0,11.6
830,349.0,24.4
831,,
832,118.0,60.1
833,50.0,88.2
834,87.0,70.0
835,468.0,18.0
836,,
837,,
838,,
839,,
840,88.0,69.3
841,265.0,31.6
842,398.0,20.6
843,53.0,86.8
844,158.0,49.7
845,335.0,24.9
846,177.0,44.2
847,501.0,11.9
848,,
849,222.0,37.5
850,,
851,,
852,362.0,23.4
853,,
854,,
855,,
856,,
857,,
858,96.0,67.1
859,,
860,501.0,9.2
861,,
862,,
863,501.0,6.7
864,501.0,3.8
865,,
866,196.0,41.7
867,,
868,56.0,85.6
869,189.0,42.9
870,,
871,501.0,16.0
872,,
873,161.0,49.2
874,30.0,96.1
875,,
876,,
877,,
878,299.0,28.3
879,28.0,97.1
880,,
881,501.0,10.7
882,332.0,25.1
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,,
892,416.0,20.0
893,,
894,,
895,,
896,,
897,,
898,,
899,149.0,51.9
900,489.0,17.0
901,501.0,5.3
902,453.0,18.5
903,203.0,40.9
904,,
905,374.0,22.5
906,,
907,272.0,31.0
908,501.0,13.6
909,15.0,99.3
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,413.0,20.0
918,501.0,9.9
919,,
920,399.0,20.6
921,,
922,58.0,85.1
923,,
924,501.0,15.1
925,306.0,27.7
926,,
927,,
928,501.0,6.5
929,,
930,363.0,23.3
931,64.0,82.3
932,,
933,501.0,9.5
934,36.0,92.9
935,,
936,,
937,501.0,11.4
938,,
939,,
940,485.0,17.2
941,477.0,17.7
942,,
943,493.0,16.8
944,448.0,18.7
945,,
946,501.0,11.1
947,,
948,308.0,27.2
949,,
950,456.0,18.4
951,,
952,,
953,128.0,58.0
954,,
955,,
956,,
957,34.0,94.0
958,,
959,,
960,,
961,391.0,21.0
962,,
963,501.0,7.6
964,,
965,,
966,312.0,26.8
967,251.0,33.6
968,174.0,44.9
969,278.0,30.2
970,229.0,36.5
971,191.0,42.6
972,501.0,4.4
973,75.0,75.2
974,134.0,55.1
975,334.0,25.0
976,232.0,35.9
977,,
978,,
979,,
980,410.0,20.1
981,,
982,461.0,18.2
983,5.0,100.0
984,,
985,501.0,15.7
986,,
987,501.0,3.9
988,,
989,343.0,24.7
990,17.0,99.1
991,,
992,,
993,146.0,52.6
994,,
995,,
996,319.0,26.0
997,501.0,5.0
998,,
999,259.0,32.7
1000,,
1001,,
1002,,
1003,,
1004,370.0,22.6
1005,293.0,28.6
1006,423.0,19.8
1007,310.0,27.0
1008,501.0,12.6
1009,356.0,23.8
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,415.0,20.0
1017,,
1018,160.0,49.5
1019,501.0,9.6
1020,,
1021,,
1022,,
1023,,
1024,67.0,80.4
1025,429.0,19.6
1026,,
1027,135.0,54.6
1028,65.0,80.9
1029,331.0,25.2
1030,,
1031,,
1032,,
1033,,
1034,501.0,14.8
1035,,
1036,,
1037,,
1038,,
1039,,
1040,194.0,42.0
1041,,
1042,116.0,60.2
1043,473.0,17.8
1044,,
1045,501.0,13.7
1046,,
1047,,
1048,138.0,54.5
1049,142.0,53.8
1050,,
1051,,
1052,339.0,24.8
1053,,
1054,496.0,16.7
1055,180.0,43.6
1056,422.0,19.8
1057,54.0,86.7
1058,291.0,28.8
1059,136.0,54.6
1060,501.0,7.9
1061,,
1062,55.0,85.9
1063,68.0,80.1
1064,,
1065,,
1066,,
1067,242.0,34.5
1068,305.0,27.7
1069,501.0,13.6
1070,501.0,11.9
1071,182.0,43.4
1072,361.0,23.4
1073,368.0,22.6
1074,,
1075,,
1076,,
1077,,
1078,,
1079,115.0,60.7
1080,209.0,39.6
1081,,
1082,304.0,27.7
1083,501.0,13.2
1084,417.0,20.0
1085,,
1086,,
1087,,
1088,,
1089,33.0,95.3
1090,347.0,24.4
1091,,
1092,,
1093,124.0,59.4
1094,,
1095,,
1096,,
1097,501.0,11.9
