university_id,sustainability rank,sustainability score
683,158.0,78.4
684,42.0,96.3
685,411.0,33.8
686,701.0,3.5
687,330.0,46.3
688,701.0,3.9
689,701.0,1.4
690,663.0,10.5
691,701.0,7.8
692,701.0,2.9
693,596.0,15.9
694,382.0,37.5
695,701.0,2.1
696,701.0,1.0
697,701.0,1.0
698,335.0,45.0
699,471.0,27.6
700,701.0,1.0
701,490.0,24.8
702,432.0,31.0
703,17.0,98.8
704,207.0,69.9
705,701.0,1.2
706,103.0,88.4
707,391.0,36.1
708,64.0,94.2
709,701.0,1.9
710,701.0,1.1
711,701.0,8.3
712,701.0,4.6
713,701.0,4.4
714,701.0,3.8
715,701.0,1.3
716,292.0,52.8
717,701.0,1.9
718,103.0,88.4
719,701.0,3.2
720,,
721,701.0,1.3
722,701.0,1.2
723,239.0,62.5
724,497.0,24.4
725,232.0,63.1
726,420.0,32.7
727,447.0,30.2
728,438.0,30.7
729,101.0,88.5
730,701.0,1.1
731,74.0,92.5
732,382.0,37.5
733,701.0,7.4
734,336.0,44.4
735,231.0,63.4
736,379.0,37.8
737,701.0,3.0
738,574.0,17.2
739,701.0,3.0
740,469.0,27.8
741,215.0,67.4
742,91.0,90.5
743,701.0,4.1
744,701.0,1.0
745,115.0,85.7
746,691.0,8.7
747,220.0,66.5
748,315.0,49.0
749,438.0,30.7
750,120.0,84.8
751,444.0,30.5
752,701.0,1.4
753,271.0,55.8
754,701.0,3.1
755,701.0,4.7
756,701.0,4.1
757,701.0,1.0
758,701.0,1.1
759,481.0,26.6
760,170.0,76.1
761,268.0,56.5
762,574.0,17.2
763,32.0,97.3
764,701.0,7.8
765,47.0,95.9
766,627.0,13.7
767,701.0,2.7
768,701.0,4.1
769,701.0,1.6
770,301.0,50.9
771,701.0,3.3
772,463.0,28.4
773,701.0,1.3
774,277.0,54.9
775,194.0,71.8
776,316.0,48.4
777,249.0,60.4
778,287.0,53.7
779,701.0,1.0
780,43.0,96.2
781,701.0,4.3
782,424.0,31.8
783,701.0,1.2
784,29.0,97.7
785,701.0,1.1
786,701.0,1.2
787,673.0,9.7
788,701.0,3.2
789,701.0,2.2
790,223.0,65.7
791,701.0,1.2
792,701.0,1.0
793,701.0,1.9
794,9.0,99.6
795,701.0,1.8
796,658.0,10.9
797,701.0,4.4
798,701.0,1.2
799,701.0,1.0
800,701.0,1.0
801,142.0,81.1
802,108.0,87.4
803,207.0,69.9
804,283.0,54.3
805,701.0,1.1
806,400.0,34.9
807,291.0,53.1
808,389.0,36.3
809,97.0,88.8
810,701.0,2.5
811,695.0,8.4
812,467.0,28.1
813,373.0,38.4
814,118.0,85.2
815,249.0,60.4
816,701.0,3.9
817,432.0,31.0
818,701.0,3.0
819,701.0,2.0
820,701.0,1.9
821,201.0,70.4
822,137.0,81.7
823,245.0,61.6
824,213.0,68.2
825,225.0,65.4
826,223.0,65.7
827,345.0,42.6
828,701.0,1.9
829,701.0,1.5
830,460.0,28.9
831,701.0,2.8
832,588.0,16.3
833,53.0,95.0
834,14.0,99.1
835,413.0,33.5
836,701.0,1.3
