university_id,international Research Network rank,international Research Network score
1035,491.0,26.1
1036,374.0,40.2
1037,701.0,3.1
1038,461.0,29.3
1039,701.0,4.6
1040,634.0,12.0
1041,701.0,1.2
1042,258.0,58.3
1043,420.0,34.6
1044,448.0,32.0
1045,519.0,23.0
1046,493.0,25.4
1047,292.0,54.0
1048,43.0,95.9
1049,272.0,56.7
1050,701.0,3.0
1051,562.0,17.9
1052,167.0,75.7
1053,701.0,1.2
1054,178.0,73.6
1055,233.0,62.1
1056,596.0,15.2
1057,21.0,98.1
1058,464.0,28.9
1059,436.0,32.8
1060,603.0,14.5
1061,701.0,3.9
1062,59.0,94.0
1063,486.0,26.7
1064,701.0,3.6
1065,701.0,7.7
1066,677.0,9.6
1067,701.0,4.2
1068,415.0,35.6
1069,692.0,9.1
1070,701.0,5.8
1071,97.0,87.9
1072,452.0,31.1
1073,545.0,19.7
1074,383.0,39.2
1075,621.0,13.3
1076,639.0,11.8
1077,701.0,1.0
1078,693.0,9.1
1079,93.0,88.4
1080,671.0,9.8
1081,701.0,2.6
1082,492.0,25.7
1083,325.0,48.3
1084,340.0,45.4
1085,701.0,1.1
1086,701.0,1.3
1087,701.0,5.7
1088,701.0,2.3
1089,10.0,99.7
1090,256.0,58.6
1091,701.0,1.0
1092,701.0,2.5
1093,73.0,91.3
1094,701.0,1.0
1095,701.0,1.1
1096,207.0,68.1
1097,675.0,9.7
1098,100.0,87.2
1099,522.0,22.7
1100,127.0,83.4
1101,701.0,4.9
1102,701.0,3.0
1103,11.0,99.6
1104,701.0,1.0
1105,701.0,7.0
1106,471.0,28.0
1107,701.0,1.0
1108,701.0,1.4
1109,282.0,55.3
1110,33.0,96.9
1111,701.0,1.0
1112,549.0,19.1
1113,701.0,1.6
1114,500.0,24.8
1115,633.0,12.2
1116,701.0,1.1
1117,701.0,1.1
1118,246.0,59.6
1119,248.0,59.4
1120,554.0,18.7
1121,701.0,2.2
1122,701.0,1.2
1123,444.0,32.2
1124,701.0,1.6
1125,620.0,13.3
1126,701.0,4.4
1127,32.0,96.9
1128,701.0,8.4
1129,565.0,17.6
1130,224.0,63.5
1131,347.0,45.1
1132,18.0,98.4
1133,180.0,73.3
1134,701.0,1.2
1135,137.0,81.6
1136,44.0,95.8
1137,395.0,37.9
1138,109.0,86.1
1139,701.0,1.0
1140,435.0,32.8
1141,13.0,99.4
1142,701.0,1.0
1143,587.0,15.6
1144,370.0,40.8
1145,573.0,17.0
1146,701.0,8.8
1147,701.0,2.2
