name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Pontificia Universidad Católica de Chile (UC),137,53.6,46,89.6,22,97.6,601+,22.4,601+,14,585,6.5,601+,3.8,n/a,n/a,n/a,n/a,n/a,n/a
"KIT, Karlsruhe Institute of Technology",138,53.4,178,45.3,78,78.5,506,30.5,122,74,256,58.9,206,67.7,n/a,n/a,n/a,n/a,n/a,n/a
Kyushu University,139,53.3,133,56.1,125,60.2,104,86.2,425,31,601+,4.4,558,18.9,n/a,n/a,n/a,n/a,n/a,n/a
University of Basel,140,53,294,28.7,376,25.9,312,49.7,28,97.2,28,100,130,86.7,n/a,n/a,n/a,n/a,n/a,n/a
McMaster University,141,52.7,212,39.9,167,51.6,102,86.5,421,31.4,86,99.5,259,55.3,n/a,n/a,n/a,n/a,n/a,n/a
Ghent University,142,52.6,140,54.5,377,25.8,115,84.8,398,34.3,251,61.7,527,21.1,n/a,n/a,n/a,n/a,n/a,n/a
Politecnico di Milano,143,52.5,101,66.1,67,81,601+,5.1,208,59.3,322,40.9,262,55.2,n/a,n/a,n/a,n/a,n/a,n/a
Universiti Putra Malaysia (UPM),144,52.2,143,53.6,144,56.4,169,73.9,549,20.5,352,32.9,128,87,n/a,n/a,n/a,n/a,n/a,n/a
Universiti Kebangsaan Malaysia (UKM),145,52,130,56.7,127,59.4,63,94.6,601+,9.2,411,20.5,441,28.4,n/a,n/a,n/a,n/a,n/a,n/a
Hokkaido University,146,51.4,139,54.8,147,56,141,79.2,410,32.5,544,8.1,565,17.9,n/a,n/a,n/a,n/a,n/a,n/a
"University of California, Santa Barbara (UCSB)",147,51.2,129,57.8,384,25.3,601+,10.7,35,95.6,309,44.1,373,37.2,n/a,n/a,n/a,n/a,n/a,n/a
Universiti Sains Malaysia (USM),148,51,123,58.9,117,63,192,69.6,601+,16,445,16,229,60.6,n/a,n/a,n/a,n/a,n/a,n/a
Stockholm University,149,50.6,137,55.6,448,20.3,551,27.3,164,65.5,178,87.5,219,63.1,n/a,n/a,n/a,n/a,n/a,n/a
University of Exeter,150,50.5,200,41.4,138,57.5,421,37.3,214,58.5,143,94.2,145,82.9,n/a,n/a,n/a,n/a,n/a,n/a
University of Waterloo,151,50.5,213,39.6,76,79.2,601+,7.5,80,85.7,213,74.7,141,83.8,n/a,n/a,n/a,n/a,n/a,n/a
Cardiff University,152,50.4,166,47.2,196,47.1,321,48.6,318,44.3,196,81.6,155,79.4,n/a,n/a,n/a,n/a,n/a,n/a
University of Vienna,153,50.4,91,70.2,191,47.4,601+,22.6,583,17.2,104,98.8,109,89.9,n/a,n/a,n/a,n/a,n/a,n/a
University of York,154,50.4,189,43.2,256,37.2,282,54.4,278,50.2,160,91.8,177,74,n/a,n/a,n/a,n/a,n/a,n/a
University of Rochester,155,50.3,336,25.2,474,18.9,25,99.8,258,52.6,264,57,79,95.3,n/a,n/a,n/a,n/a,n/a,n/a
Aarhus University,156,50.2,134,56,235,40.2,475,32.6,204,60.1,189,83.9,601+,15.8,n/a,n/a,n/a,n/a,n/a,n/a
Hanyang University,157,49.8,179,45.2,86,74.3,137,80.1,440,30.1,533,8.9,414,31.7,n/a,n/a,n/a,n/a,n/a,n/a
Michigan State University,158,49.7,114,61,123,60.7,601+,13.5,182,63.3,286,50.5,495,23.6,n/a,n/a,n/a,n/a,n/a,n/a
