name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Georgia Institute of Technology,97,60.9,100,67.4,59,85.1,701+,15.3,163,67.1,417,38.8,230,65.4,432,33.2,175,41.7,=201,70.4
Freie Universitaet Berlin,98,60.8,70,80.8,163,51,701+,4.4,141,71.4,308,62.8,332,43.6,118,84.9,378,21.9,251,60.1
Purdue University,99,60.7,108,63.9,71,81.2,701+,10.3,155,68.4,398,41.5,317,45.8,170,75.4,117,53.4,=215,67.4
Pohang University of Science And Technology (POSTECH),100,60.4,153,51.6,79,75.9,21,99.9,29,98.3,464,33.8,701+,2.6,701+,1.3,637,13.4,=581,16.9
University of Nottingham,101,60.4,116,60.7,96,72.1,492,32.2,290,46.5,183,90,185,75.2,18,98.4,342,24.4,=150,80
University of Wisconsin-Madison,102,60,71,80.2,182,47.8,229,61.3,376,37.4,483,30.9,501,22.8,126,83.6,61,73.1,=126,83.7
Pontificia Universidad Católica de Chile (UC),103,59.9,38,92.9,11,99.5,654,20.6,701+,11.6,645,16.4,701+,3.5,270,56.8,56,76.3,=84,91.3
The University of Sheffield,104,59.7,130,58.7,153,52.3,278,54.7,289,46.9,218,84,69,97.5,38,96.1,332,24.9,169,76.3
Uppsala University,105,59.4,111,62.7,320,30.5,330,47.7,296,45.6,108,98.3,152,82.4,47,95.5,105,58.2,12,99.4
RWTH Aachen University,106,59.3,163,49.7,44,93,701+,5.5,120,78.7,362,49,151,83,223,63.5,354,23.9,=288,53.4
University of Copenhagen,107,58.8,80,74.1,371,25.8,19,100,543,21.2,175,91.4,506,22.5,19,98.2,98,60.1,=108,87.4
Utrecht University,108,58.8,102,66.6,311,31.6,487,32.6,108,80.8,323,57.1,531,21.2,54,95,309,26.5,=128,83.5
Aalto University,109,58.7,187,44.6,223,41.8,391,40.2,112,79.4,147,95.5,363,37.7,277,56.2,39,88.9,=53,95
Newcastle University,110,58.6,170,48,87,74.5,445,35.6,264,50.2,182,90,203,70.9,39,96.1,349,24.1,17,98.8
University of Alberta,111,58.3,135,56.8,266,36.5,370,42.8,213,59.1,116,97.9,193,73.2,68,92.1,152,46,170,76.1
University of Waterloo,112,58.1,208,40.7,117,66.7,701+,6.8,100,82.9,241,76.8,172,77.9,281,55.4,112,55.9,=36,97.1
Tohoku University,113,58,85,72.4,61,84.2,41,98.5,436,29.6,683,14.2,647,13.8,474,27.6,486,17.2,=177,74.8
Western University,114,57.4,273,32.1,186,47.4,701+,3.7,30,98.3,86,99.7,268,54.6,274,56.4,30,93.3,8,99.6
University of Helsinki,115,57.2,105,65.1,304,32.3,223,63.4,265,49.8,268,71.5,701+,5.4,40,96,86,65.7,=133,82.7
University of Southern California,116,57.1,150,52.5,183,47.6,634,21.7,157,68,474,31.8,191,73.5,228,62.8,32,93.1,15,98.9
