university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
141,1110,,501,10.1,501,6.9,601,15.7,601,3.3,601.0,6.7,601.0,3.5,601.0,27.6,601.0,4.5,,
142,77,65.7,38,92.3,44,92.6,461,33.4,262,49.7,591.0,19.0,412.0,32.6,393.0,75.0,37.0,96.7,,
143,288,36.0,350,24.2,236,39.7,54,96.8,601,1.3,601.0,3.4,303.0,48.2,601.0,46.2,417.0,29.9,,
144,388,29.2,501,7.0,497,18.1,601,13.5,33,96.8,438.0,35.4,601.0,11.3,601.0,55.2,601.0,11.3,,
145,576,,406,20.5,501,5.6,601,7.1,245,52.5,601.0,7.4,601.0,13.0,221.0,86.5,594.0,19.8,,
146,979,,501,11.7,438,21.1,601,2.6,514,22.8,601.0,1.6,601.0,5.4,401.0,74.8,601.0,9.4,,
147,554,,501,14.3,413,23.2,601,3.1,500,24.3,215.0,80.8,105.0,91.6,396.0,74.9,381.0,33.5,,
148,799,,501,2.8,501,6.3,601,1.7,216,57.7,,,338.0,41.0,601.0,53.6,587.0,20.1,,
149,880,,501,4.5,501,1.6,374,41.7,601,1.5,601.0,2.0,601.0,6.6,601.0,4.9,601.0,9.4,,
150,97,59.5,175,46.2,106,67.6,249,61.1,209,58.9,100.0,98.8,35.0,99.7,265.0,83.4,292.0,44.1,,
151,479,24.9,501,14.6,501,4.5,114,83.9,601,5.7,,,601.0,10.7,262.0,83.6,601.0,17.2,,
152,108,57.2,110,62.3,139,57.2,388,40.4,195,61.6,449.0,33.7,144.0,83.3,212.0,86.9,103.0,80.5,,
153,903,,501,4.7,501,5.4,465,32.8,601,9.8,601.0,11.4,601.0,12.0,601.0,37.3,232.0,53.0,,
154,205,42.8,447,19.2,369,25.9,222,65.2,81,86.7,601.0,5.7,409.0,32.8,601.0,53.7,38.0,96.7,,
155,331,32.3,466,18.4,501,13.0,601,12.0,214,58.2,91.0,99.1,116.0,88.7,601.0,56.8,221.0,54.2,,
156,782,,501,12.6,501,9.1,591,24.7,568,19.4,601.0,4.4,601.0,6.1,300.0,81.2,534.0,22.8,,
157,289,36.0,181,45.3,280,34.9,378,41.3,601,10.7,532.0,23.9,283.0,51.6,59.0,96.0,314.0,41.5,,
158,1123,,501,9.3,439,21.0,601,15.1,601,1.5,601.0,11.5,601.0,2.8,601.0,19.2,182.0,62.0,,
159,664,,501,8.7,461,20.1,601,14.9,601,6.6,225.0,77.7,29.0,99.8,424.0,73.0,601.0,13.2,,
160,726,,501,11.8,501,5.6,601,14.1,335,41.9,601.0,5.6,601.0,6.4,601.0,46.2,601.0,5.1,,
161,26,83.8,78,74.4,25,97.0,24,99.8,96,84.1,308.0,59.7,142.0,83.6,4.0,99.7,227.0,53.9,,
162,823,,501,1.0,501,3.2,601,15.9,356,39.2,352.0,49.6,601.0,9.2,601.0,42.9,601.0,19.0,,
163,333,32.1,123,58.1,379,25.3,601,19.3,601,8.9,601.0,9.2,601.0,1.6,363.0,77.0,235.0,52.2,,
164,600,,359,23.4,190,47.7,601,3.4,539,21.1,464.0,31.1,601.0,7.4,87.0,94.6,208.0,56.0,,
165,430,27.1,501,13.1,501,3.4,601,11.8,52,93.2,601.0,3.7,601.0,3.4,601.0,56.2,601.0,4.6,,
166,571,,501,11.2,501,16.9,601,13.5,501,24.2,42.0,100.0,233.0,60.7,601.0,14.3,85.0,84.8,,
167,702,,501,16.3,332,29.2,479,32.3,601,4.8,601.0,3.3,575.0,17.2,601.0,16.2,216.0,54.7,,
168,1287,,501,4.5,501,5.0,601,7.0,601,3.5,601.0,1.4,601.0,2.6,601.0,31.0,601.0,9.1,,
169,1128,,501,8.4,501,2.0,601,16.9,601,9.6,601.0,2.2,601.0,5.1,576.0,59.3,601.0,4.7,,
170,913,,501,11.3,501,4.1,513,29.9,601,3.9,601.0,5.0,601.0,2.8,439.0,71.8,601.0,5.5,,
171,1002,,501,3.5,501,6.6,601,19.2,469,26.4,489.0,28.9,456.0,26.7,601.0,36.3,458.0,27.3,,
172,867,,501,6.2,501,12.9,601,22.8,601,3.0,219.0,80.6,587.0,16.8,601.0,1.8,111.0,79.0,,
173,1306,,501,9.3,501,8.8,601,11.4,601,1.2,,,,,601.0,10.3,506.0,24.0,,
174,1368,,501,3.3,501,5.0,601,13.8,601,1.9,601.0,1.1,601.0,1.0,601.0,15.1,299.0,42.9,,
175,639,,314,26.9,229,40.5,601,12.7,601,7.6,601.0,13.1,601.0,2.3,500.0,66.5,601.0,6.8,,
176,646,,433,19.7,501,5.6,601,19.9,499,24.4,385.0,43.9,519.0,21.4,139.0,91.1,601.0,3.1,,
177,66,69.0,99,66.1,257,37.0,147,78.4,151,68.9,46.0,100.0,153.0,80.7,409.0,74.2,256.0,49.2,,
178,619,,501,10.7,501,14.7,505,30.6,601,1.5,265.0,68.6,184.0,74.5,601.0,5.4,601.0,9.7,,
179,536,,501,16.2,350,27.4,420,37.0,580,18.1,402.0,40.5,582.0,17.0,601.0,24.3,269.0,46.9,,
180,716,,501,10.0,501,2.7,428,36.5,601,1.9,29.0,100.0,601.0,3.4,601.0,42.7,601.0,8.5,,
181,693,,317,26.8,195,47.4,601,14.8,601,2.7,601.0,2.0,601.0,1.7,601.0,57.4,601.0,10.8,,
182,511,,370,22.6,349,27.5,601,4.2,220,55.8,601.0,2.0,601.0,2.0,321.0,80.2,444.0,28.5,,
183,546,,236,36.3,470,19.7,601,21.6,601,2.2,601.0,4.0,544.0,19.6,601.0,40.5,601.0,4.8,,
184,647,,501,15.3,501,2.2,601,14.8,414,32.8,341.0,52.4,481.0,23.8,115.0,92.5,601.0,3.2,,
185,1226,,501,6.3,501,10.3,601,5.6,601,7.3,601.0,7.3,577.0,17.1,601.0,9.5,583.0,20.2,,
186,1296,,501,7.6,501,5.3,601,4.7,601,1.5,601.0,3.1,601.0,3.1,601.0,15.3,601.0,4.8,,
187,287,36.2,218,38.9,237,39.6,601,11.3,411,33.2,106.0,98.5,275.0,52.7,486.0,67.6,225.0,54.0,,
188,1061,,501,6.0,501,5.0,601,6.5,575,18.7,564.0,21.4,601.0,5.4,601.0,52.3,601.0,10.3,,
189,860,,501,3.0,501,3.1,601,10.0,601,5.7,268.0,68.3,72.0,95.9,601.0,19.0,601.0,8.6,,
190,792,,501,6.3,501,2.1,601,17.2,318,43.1,601.0,7.9,485.0,23.6,281.0,82.4,601.0,5.3,,
191,1012,,501,8.3,501,3.5,595,24.5,601,9.0,601.0,1.2,601.0,2.0,601.0,38.6,601.0,5.6,,
192,776,,501,13.8,501,4.3,601,6.9,408,33.7,598.0,18.4,469.0,25.1,468.0,69.2,601.0,6.6,,
193,849,,501,9.8,501,10.5,601,13.0,519,22.6,346.0,51.5,601.0,7.5,423.0,73.0,601.0,17.9,,
194,954,,501,5.0,501,4.6,601,13.0,601,5.9,435.0,36.0,189.0,72.6,559.0,60.9,601.0,3.6,,
195,785,,351,24.2,176,49.7,601,3.3,601,1.0,601.0,1.5,601.0,2.5,,,443.0,28.5,,
196,56,72.3,91,69.0,17,98.3,408,37.8,93,84.6,32.0,100.0,8.0,100.0,487.0,67.6,10.0,99.9,,
197,128,54.3,107,63.6,351,27.4,357,43.4,314,43.4,137.0,95.3,182.0,74.7,36.0,97.1,263.0,48.5,,
198,1072,,501,3.2,501,4.5,430,36.3,601,1.2,537.0,23.6,601.0,5.2,601.0,13.0,306.0,42.4,,
199,441,26.4,501,11.3,501,4.8,47,98.2,601,6.6,601.0,5.6,601.0,1.5,601.0,45.3,601.0,3.1,,
200,935,,501,13.2,501,5.3,601,17.8,601,15.9,601.0,3.0,601.0,1.8,601.0,32.1,601.0,4.2,,
201,163,48.2,201,41.1,142,56.1,491,31.5,224,55.3,162.0,92.3,163.0,77.7,77.0,94.8,601.0,15.9,,
202,7,97.0,24,98.3,10,99.7,34,99.5,84,86.5,55.0,100.0,13.0,100.0,20.0,98.1,76.0,88.8,,
203,900,,501,9.0,501,6.3,416,37.2,601,3.9,601.0,2.3,601.0,3.0,601.0,50.6,549.0,22.0,,
204,675,,501,5.8,501,10.2,208,66.7,601,1.3,601.0,1.7,493.0,22.9,601.0,13.7,601.0,13.5,,
205,200,43.6,226,37.4,258,37.0,89,89.1,601,14.9,392.0,42.9,383.0,36.0,90.0,94.2,601.0,9.9,,
206,1295,,501,4.7,501,1.6,601,5.5,601,2.4,601.0,2.5,601.0,1.1,601.0,12.1,601.0,4.9,,
207,719,,501,14.4,476,19.3,601,18.3,601,1.5,197.0,85.5,375.0,37.0,601.0,39.8,601.0,4.1,,
208,489,24.6,279,30.8,174,50.1,601,17.4,601,10.8,601.0,3.2,454.0,27.1,350.0,77.8,284.0,44.7,,
209,192,44.5,294,29.1,374,25.7,455,34.1,80,86.7,68.0,99.9,567.0,17.6,339.0,78.6,280.0,45.1,,
210,260,37.9,308,27.3,501,15.9,65,94.0,601,15.7,601.0,7.3,247.0,58.0,601.0,52.3,491.0,24.9,,
