university_id,faculty student rank,faculty student score
958,601,17.5
959,601,5.5
960,601,4.8
961,75,91.5
962,601,18.0
963,156,76.4
964,490,31.5
965,512,30.0
966,601,9.8
967,147,78.1
968,218,65.4
969,206,67.5
970,601,6.9
971,601,7.8
972,337,46.3
973,89,89.5
974,551,27.3
975,247,61.1
976,601,10.7
977,601,15.1
978,601,10.1
979,601,6.4
980,486,31.7
981,601,3.2
982,94,88.4
983,12,100.0
984,152,77.2
985,601,23.6
986,601,5.9
987,36,99.3
988,601,18.1
989,577,25.4
990,601,19.9
991,601,14.4
992,601,8.7
993,303,51.5
994,540,28.1
995,601,12.7
996,601,16.7
997,46,97.9
998,297,52.6
999,601,17.9
1000,601,9.4
1001,601,19.3
1002,573,25.6
1003,601,6.8
1004,601,2.0
1005,601,16.8
1006,343,45.7
1007,550,27.4
1008,601,17.3
1009,601,5.3
1010,78,91.1
1011,601,9.2
1012,130,81.4
1013,601,4.7
1014,601,16.2
1015,601,10.6
1016,601,18.3
1017,231,64.1
1018,234,62.8
1019,591,24.3
1020,267,57.6
1021,601,22.8
1022,377,41.9
1023,601,6.3
1024,59,94.8
1025,601,1.5
1026,109,85.4
1027,475,32.6
1028,601,3.5
1029,601,12.4
1030,601,2.9
1031,601,3.9
1032,446,34.9
1033,601,3.9
1034,601,15.3
1035,244,61.4
1036,408,38.7
1037,181,71.6
1038,380,41.3
1039,601,10.7
1040,51,97.2
1041,601,19.6
1042,123,83.2
1043,346,45.5
1044,601,6.1
1045,601,2.1
1046,601,17.1
1047,416,37.8
1048,107,85.5
1049,63,94.6
1050,292,52.9
1051,601,20.7
1052,352,44.6
1053,601,11.2
1054,465,33.3
1055,396,39.6
1056,601,14.7
1057,6,100.0
1058,270,56.3
1059,104,86.2
1060,126,82.9
1061,601,1.9
1062,601,12.2
1063,142,79.1
1064,601,6.2
1065,275,55.7
1066,601,10.1
1067,601,17.1
1068,242,62.0
1069,601,15.1
1070,601,12.0
1071,601,9.1
1072,601,21.8
1073,601,2.4
1074,329,47.6
1075,601,4.5
1076,105,86.2
1077,469,32.9
1078,438,35.8
1079,601,6.0
1080,149,78.0
1081,212,66.5
1082,106,85.9
1083,153,76.9
1084,601,13.2
1085,601,13.4
1086,601,13.5
1087,601,10.5
1088,252,60.6
1089,178,72.5
1090,601,20.6
1091,151,77.3
1092,430,37.0
1093,601,9.9
1094,601,18.6
1095,144,78.7
1096,601,10.5
1097,601,9.8
1098,53,96.6
1099,74,91.5
1100,601,21.5
1101,601,4.6
1102,265,57.8
1103,601,15.5
1104,601,23.2
1105,601,4.3
1106,601,8.1
1107,290,53.5
1108,415,37.8
1109,311,49.7
1110,601,4.2
1111,143,79.0
1112,601,1.6
1113,601,9.1
1114,601,10.6
1115,601,10.0
1116,601,8.6
1117,30,99.8
1118,192,69.6
1119,251,60.8
1120,601,8.0
1121,601,3.0
1122,547,27.5
1123,118,83.6
1124,339,46.1
1125,601,7.5
1126,601,6.2
1127,386,40.7
1128,521,29.5
1129,71,92.0
1130,581,25.1
1131,601,11.5
1132,359,43.5
1133,492,31.4
1134,601,19.1
1135,601,5.1
1136,9,100.0
1137,209,66.8
1138,504,30.6
1139,132,80.9
1140,601,6.0
1141,601,9.9
1142,214,66.2
1143,137,80.1
1144,601,12.0
1145,601,5.1
1146,601,6.0
1147,601,7.6
