university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
130,577,,501,12.5,501,9.7,262,58.6,601,13.2,601.0,3.1,601.0,8.4,,,,,,
131,331,32.4,409,20.4,407,23.4,601,10.2,284,49.6,125.0,97.0,27.0,99.9,,,,,,
132,398,28.3,211,39.9,102,66.1,572,25.6,601,1.7,601.0,1.6,601.0,1.7,,,,,,
133,214,42.1,197,42.0,211,44.8,601,8.7,210,59.0,116.0,98.3,327.0,43.3,,,,,,
134,947,,474,17.9,322,29.9,601,14.0,601,2.5,601.0,1.1,601.0,1.1,,,,,,
135,1158,,501,10.6,501,15.7,601,3.2,601,2.7,601.0,1.0,601.0,1.3,,,,,,
136,728,,501,8.5,501,13.1,601,17.8,601,9.6,11.0,100.0,523.0,21.3,,,,,,
137,131,54.8,150,51.1,332,29.1,239,62.2,287,49.3,154.0,92.6,132.0,86.2,,,,,,
138,186,45.9,173,45.8,95,70.8,499,30.9,140,70.0,601.0,1.2,601.0,1.7,,,,,,
139,81,65.4,184,44.3,110,64.1,18,100.0,17,99.7,429.0,17.6,601.0,3.0,,,,,,
140,1009,,501,9.6,501,4.7,601,14.2,601,2.3,475.0,13.6,601.0,2.3,,,,,,
141,1107,,501,11.2,501,7.5,601,17.1,601,3.6,601.0,2.2,601.0,3.6,,,,,,
142,68,68.2,38,92.3,57,87.4,385,40.8,213,58.7,571.0,7.0,354.0,39.2,,,,,,
143,296,34.9,386,21.5,237,40.2,44,98.0,601,1.4,601.0,1.4,331.0,43.0,,,,,,
144,415,27.4,501,7.3,501,16.9,601,17.1,65,88.1,431.0,17.4,601.0,15.4,,,,,,
145,569,,403,20.6,501,6.8,601,6.6,267,51.6,601.0,2.2,601.0,13.6,,,,,,
146,967,,501,11.9,487,18.2,601,2.5,379,36.4,601.0,1.1,601.0,4.6,,,,,,
147,523,,501,14.5,374,26.1,601,3.5,465,27.7,222.0,72.2,100.0,92.6,,,,,,
148,747,,501,2.9,501,6.6,601,1.6,187,61.8,,,328.0,43.1,,,,,,
149,871,,501,4.7,501,1.6,317,48.8,601,1.5,601.0,1.1,601.0,5.5,,,,,,
150,92,62.8,169,46.7,108,64.7,203,67.6,144,69.7,97.0,99.1,32.0,99.7,,,,,,
151,464,25.4,501,14.7,501,6.5,112,85.0,601,6.0,,,601.0,11.2,,,,,,
152,115,57.0,109,62.0,130,58.9,382,41.0,179,63.7,466.0,14.4,127.0,87.6,,,,,,
153,892,,501,5.6,501,5.8,418,37.6,601,10.2,601.0,3.9,531.0,20.9,,,,,,
154,192,45.1,435,19.5,318,30.1,179,71.8,56,90.1,601.0,1.7,406.0,32.5,,,,,,
155,377,29.6,424,19.9,501,16.4,601,11.1,316,44.5,93.0,99.2,166.0,76.5,,,,,,
156,780,,501,13.7,501,9.5,592,24.2,538,21.5,601.0,1.6,601.0,7.3,,,,,,
157,267,37.1,174,45.7,269,35.5,309,49.9,601,11.4,538.0,8.6,294.0,49.2,,,,,,
158,1122,,501,9.6,415,22.6,601,17.9,601,1.5,601.0,3.8,601.0,2.9,,,,,,
159,614,,501,9.8,298,32.2,601,14.6,601,6.2,231.0,70.2,29.0,99.8,,,,,,
160,633,,501,12.2,501,6.1,601,14.1,254,52.9,601.0,1.9,601.0,6.7,,,,,,
161,44,77.6,76,75.8,28,95.9,21,99.9,239,55.1,262.0,57.5,190.0,70.5,,,,,,
162,758,,501,1.0,501,3.7,601,18.2,315,44.7,396.0,23.2,601.0,12.8,,,,,,
163,371,30.3,141,54.5,388,25.1,601,17.9,601,10.2,601.0,3.1,601.0,1.8,,,,,,
164,647,,373,22.4,250,38.1,601,3.0,519,23.2,370.0,28.8,601.0,7.4,,,,,,
165,419,27.4,501,15.0,501,4.3,601,12.8,53,90.4,601.0,1.5,601.0,3.5,,,,,,
166,515,,501,11.6,479,18.7,601,15.1,470,27.4,37.0,100.0,207.0,67.2,,,,,,
167,652,,501,15.9,334,28.9,452,34.6,601,5.2,601.0,1.4,562.0,18.2,,,,,,
168,1241,,501,5.1,501,3.9,601,8.7,601,3.2,601.0,1.0,601.0,2.7,,,,,,
169,1126,,501,8.4,501,2.1,601,18.3,601,11.0,601.0,1.2,601.0,4.4,,,,,,
170,903,,501,11.0,501,3.9,543,27.7,601,3.8,601.0,1.7,601.0,3.0,,,,,,
171,799,,501,3.8,501,7.0,601,17.9,390,35.3,520.0,9.6,400.0,33.2,,,,,,
172,863,,501,6.6,501,9.8,529,29.0,601,2.2,200.0,79.0,554.0,19.4,,,,,,
173,1113,,501,8.3,501,8.6,601,11.9,601,1.2,,,,,,,,,,
174,1287,,501,3.6,501,6.4,601,17.6,601,1.8,601.0,1.0,601.0,1.0,,,,,,
175,637,,334,25.4,220,43.8,601,16.4,601,6.7,601.0,4.6,601.0,2.4,,,,,,
176,582,,415,20.2,501,6.9,601,21.5,468,27.6,373.0,28.1,508.0,22.7,,,,,,
177,66,69.1,98,67.1,223,42.9,140,79.2,178,63.8,41.0,100.0,151.0,81.3,,,,,,
178,620,,501,10.6,445,20.4,391,40.0,601,1.3,312.0,43.5,345.0,41.1,,,,,,
179,549,,501,15.6,455,20.0,400,39.4,576,18.0,360.0,30.6,600.0,16.0,,,,,,
180,666,,501,8.4,501,3.1,350,44.7,601,1.7,23.0,100.0,601.0,3.4,,,,,,
181,685,,338,25.2,200,46.5,601,13.7,601,3.0,601.0,1.2,601.0,1.6,,,,,,
182,529,,378,22.3,413,22.7,601,3.9,255,52.8,601.0,1.2,601.0,2.1,,,,,,
183,588,,255,32.9,420,22.2,601,19.2,601,2.1,601.0,1.7,597.0,16.2,,,,,,
184,749,,501,14.8,501,2.2,601,13.0,493,25.2,341.0,36.0,434.0,29.1,,,,,,
185,1039,,501,6.7,501,8.0,601,7.4,601,6.4,601.0,2.7,569.0,17.9,,,,,,
186,1249,,501,8.2,501,5.1,601,4.6,601,1.6,601.0,1.3,601.0,2.9,,,,,,
187,261,37.7,215,39.2,231,41.0,601,9.7,337,41.1,82.0,99.6,284.0,51.4,,,,,,
188,1053,,501,6.3,501,5.4,601,7.2,487,26.1,584.0,6.5,601.0,7.3,,,,,,
189,856,,501,3.3,501,3.2,601,12.7,601,6.7,238.0,66.9,95.0,93.9,,,,,,
190,739,,501,6.5,501,2.5,601,21.6,333,41.7,601.0,2.5,470.0,25.2,,,,,,
191,1004,,501,7.7,501,3.6,585,24.8,601,9.0,,,601.0,2.4,,,,,,
192,725,,501,15.0,501,4.2,601,8.9,382,36.2,592.0,6.1,463.0,26.0,,,,,,
193,842,,501,10.3,501,12.0,601,16.5,556,20.2,368.0,28.9,601.0,10.3,,,,,,
194,946,,501,5.2,501,4.9,601,16.7,601,7.1,422.0,18.1,227.0,61.1,,,,,,
195,908,,389,21.4,172,50.6,601,2.9,601,1.0,,,601.0,1.6,,,,,,
196,50,75.8,83,72.4,11,99.2,348,45.0,70,87.8,30.0,100.0,5.0,100.0,,,,,,
197,126,55.4,105,65.1,285,33.0,406,38.9,249,53.4,183.0,86.3,230.0,60.4,,,,,,
198,1064,,501,3.0,501,5.7,528,29.0,601,1.2,601.0,3.6,601.0,4.2,,,,,,
199,434,26.7,501,11.9,501,5.5,49,97.4,601,8.2,601.0,1.9,601.0,1.7,,,,,,
200,929,,501,13.5,501,6.3,601,18.7,601,16.0,601.0,1.5,601.0,2.0,,,,,,
201,150,50.5,200,41.4,138,57.5,421,37.3,214,58.5,143.0,94.2,145.0,82.9,,,,,,
202,7,97.3,22,98.4,9,99.8,27,99.8,64,88.1,47.0,100.0,10.0,100.0,,,,,,
203,889,,501,9.1,501,7.7,395,39.6,601,4.9,601.0,1.2,601.0,3.1,,,,,,
204,672,,501,6.0,501,10.3,201,68.3,601,1.3,601.0,1.1,568.0,17.9,,,,,,
205,196,44.8,220,38.0,170,51.0,101,86.6,562,19.5,386.0,25.2,375.0,37.1,,,,,,
206,1248,,501,5.3,501,2.1,601,5.9,601,2.5,601.0,1.2,601.0,1.1,,,,,,
207,774,,501,12.0,501,16.3,601,16.6,601,1.3,217.0,73.5,481.0,24.5,,,,,,
208,459,25.5,280,30.2,153,53.2,601,19.3,601,11.4,601.0,1.4,386.0,35.6,,,,,,
209,198,44.6,274,30.8,344,28.6,470,32.9,97,80.6,66.0,100.0,426.0,30.5,,,,,,
210,247,38.8,290,28.9,501,16.2,69,92.9,564,19.5,601.0,2.3,241.0,57.9,,,,,,
211,591,,501,11.1,475,18.8,464,33.4,601,1.3,19.0,100.0,339.0,41.7,,,,,,
212,184,46.0,501,13.7,501,10.5,76,91.3,168,65.1,9.0,100.0,235.0,59.7,,,,,,
213,810,,501,10.6,501,4.9,601,18.9,490,25.5,601.0,1.9,601.0,12.5,,,,,,
214,928,,458,18.7,501,6.3,601,18.6,601,6.9,601.0,1.6,601.0,2.2,,,,,,
215,987,,501,11.0,501,2.9,601,8.4,601,15.8,566.0,7.1,595.0,16.3,,,,,,
216,991,,499,16.6,501,12.1,601,15.5,601,2.3,601.0,1.6,601.0,1.8,,,,,,
217,1054,,501,7.9,501,16.9,601,5.1,601,3.2,601.0,3.6,601.0,1.8,,,,,,
218,602,,501,11.2,501,6.8,225,64.5,601,9.2,,,601.0,10.9,,,,,,
219,147,51.2,129,57.8,384,25.3,601,10.7,35,95.6,309.0,44.1,373.0,37.2,,,,,,
220,609,,501,9.5,486,18.3,601,2.9,297,47.2,412.0,20.3,272.0,53.0,,,,,,
221,1068,,501,5.4,501,2.6,601,15.0,601,11.9,601.0,1.7,601.0,8.3,,,,,,
222,1259,,501,5.9,501,4.0,601,2.4,601,1.3,601.0,1.3,601.0,1.1,,,,,,
223,144,52.2,143,53.6,144,56.4,169,73.9,549,20.5,352.0,32.9,128.0,87.0,,,,,,
224,367,30.5,419,20.1,501,12.4,139,79.3,555,20.2,494.0,11.6,601.0,11.2,,,,,,
225,488,24.4,224,37.6,116,63.1,601,8.8,601,4.8,601.0,2.3,601.0,2.5,,,,,,
226,595,,440,19.4,314,30.2,493,31.4,601,3.1,596.0,5.9,306.0,46.6,,,,,,
227,38,80.4,28,96.8,29,95.4,601,20.9,68,87.9,60.0,100.0,13.0,100.0,,,,,,
228,80,65.5,85,71.6,44,92.6,88,89.6,397,34.4,568.0,7.1,323.0,44.1,,,,,,
229,228,40.3,186,44.1,227,41.7,601,19.9,270,51.2,285.0,50.7,413.0,31.7,,,,,,
230,526,,501,6.1,501,1.3,22,99.9,601,1.2,601.0,1.0,601.0,1.9,,,,,,
231,238,39.6,124,58.8,31,95.2,601,22.3,601,6.4,501.0,11.0,601.0,1.6,,,,,,
232,835,,501,15.6,501,13.5,601,8.1,601,6.8,601.0,1.3,601.0,2.8,,,,,,
233,39,80.3,49,88.8,141,56.7,236,62.6,88,83.2,55.0,100.0,101.0,91.8,,,,,,
234,411,27.7,250,33.7,391,24.9,427,37.0,601,16.0,482.0,13.1,601.0,7.6,,,,,,
235,979,,501,9.3,501,11.6,601,11.0,601,11.8,372.0,28.2,224.0,61.9,,,,,,
236,215,42.0,152,50.8,394,24.5,601,20.4,185,62.3,377.0,27.5,511.0,22.3,,,,,,
237,1168,,501,8.9,501,12.0,601,15.4,601,1.9,,,,,,,,,,
238,227,40.3,150,51.1,501,17.7,272,56.2,574,18.0,355.0,32.6,433.0,29.3,,,,,,
239,359,30.9,366,22.9,501,5.2,485,31.9,133,71.0,601.0,5.7,601.0,5.3,,,,,,
240,143,52.5,101,66.1,67,81.0,601,5.1,208,59.3,322.0,40.9,262.0,55.2,,,,,,
241,140,53.0,294,28.7,376,25.9,312,49.7,28,97.2,28.0,100.0,130.0,86.7,,,,,,
242,374,29.6,387,21.5,501,15.3,460,33.7,193,61.3,601.0,1.4,601.0,5.0,,,,,,
243,403,28.0,400,20.7,434,21.2,135,80.3,601,3.8,601.0,3.6,601.0,9.3,,,,,,
244,992,,501,12.4,501,13.0,601,12.2,601,3.7,487.0,12.0,502.0,23.1,,,,,,
245,439,26.5,486,17.5,501,10.9,601,11.6,434,30.4,64.0,100.0,47.0,98.9,,,,,,
246,1207,,501,5.7,501,12.1,601,5.8,601,2.7,570.0,7.0,601.0,3.4,,,,,,
247,648,,501,13.9,501,11.0,601,6.7,601,5.8,8.0,100.0,14.0,100.0,,,,,,
248,496,24.1,443,19.2,501,9.2,304,51.2,524,22.9,,,601.0,10.8,,,,,,
249,21,88.3,23,98.4,37,93.9,246,61.3,21,98.9,211.0,75.6,209.0,66.1,,,,,,
250,798,,501,10.6,501,16.8,471,32.8,601,7.7,601.0,3.0,444.0,27.6,,,,,,
251,467,25.3,501,12.0,501,5.6,463,33.6,177,63.8,601.0,2.7,601.0,4.3,,,,,,
252,1071,,501,6.6,501,9.1,601,8.2,601,10.3,601.0,1.5,601.0,3.2,,,,,,
253,982,,497,16.7,501,6.8,601,2.3,580,17.6,601.0,3.2,601.0,5.4,,,,,,
254,42,78.9,31,95.9,14,98.6,54,96.6,464,27.7,461.0,14.6,77.0,95.6,,,,,,
255,421,27.3,444,19.2,234,40.5,601,6.1,148,69.1,601.0,1.0,601.0,7.1,,,,,,
256,1190,,501,8.0,501,4.9,601,1.7,601,1.7,509.0,10.3,408.0,32.4,,,,,,
257,36,81.7,24,98.3,27,96.5,117,83.9,119,75.0,601.0,4.0,601.0,8.9,,,,,,
258,1086,,501,5.7,501,4.0,601,20.8,601,1.2,601.0,3.3,601.0,5.3,,,,,,
