university_id,employment outcomes rank,employment outcomes score
780,316.0,41.0
781,123.0,73.8
782,438.0,28.8
783,601.0,9.3
784,593.0,19.8
785,601.0,9.3
786,286.0,44.5
787,77.0,88.7
788,601.0,17.5
789,601.0,9.1
790,82.0,85.6
791,601.0,15.8
792,136.0,70.0
793,222.0,54.1
794,110.0,79.2
795,601.0,9.5
796,601.0,12.9
797,601.0,5.1
798,601.0,8.6
799,440.0,28.8
800,601.0,4.6
801,200.0,56.9
802,193.0,58.2
803,601.0,12.0
804,437.0,28.8
805,601.0,9.6
806,601.0,7.2
807,601.0,16.6
808,304.0,42.6
809,500.0,24.5
810,601.0,5.4
811,601.0,4.1
812,601.0,13.9
813,66.0,90.7
814,601.0,16.3
815,601.0,5.4
816,601.0,6.5
817,601.0,7.1
818,601.0,4.1
819,513.0,23.6
820,91.0,83.7
821,176.0,63.5
822,248.0,50.3
823,231.0,53.4
824,601.0,19.3
825,478.0,25.9
826,264.0,47.9
827,601.0,5.4
828,601.0,6.6
829,214.0,55.1
830,407.0,30.8
831,601.0,14.5
832,393.0,32.2
833,27.0,98.6
834,168.0,64.9
835,601.0,9.5
836,601.0,13.7
837,601.0,10.7
838,601.0,6.8
839,454.0,27.7
840,601.0,18.7
841,226.0,53.9
842,266.0,47.4
843,178.0,63.2
844,224.0,54.0
845,446.0,28.3
846,601.0,11.6
847,601.0,4.2
848,601.0,9.4
849,601.0,15.5
850,341.0,37.8
851,601.0,9.8
852,568.0,21.0
853,601.0,14.8
854,601.0,11.2
855,601.0,12.1
856,601.0,15.3
857,601.0,4.5
858,47.0,93.6
859,601.0,16.9
860,396.0,31.7
861,601.0,5.1
862,601.0,13.8
863,296.0,43.0
864,601.0,11.7
865,601.0,4.8
866,601.0,8.3
867,601.0,10.7
868,87.0,84.6
869,335.0,38.9
870,601.0,5.0
871,210.0,55.6
872,362.0,35.5
873,170.0,64.4
874,5.0,100.0
875,128.0,71.9
876,601.0,17.5
877,601.0,3.4
878,538.0,22.5
879,119.0,75.2
880,330.0,39.5
881,541.0,22.4
882,585.0,20.1
883,601.0,4.8
884,601.0,6.1
885,601.0,7.1
886,601.0,5.4
887,601.0,15.3
888,601.0,7.4
889,601.0,13.6
890,601.0,6.4
891,351.0,37.2
892,601.0,17.8
893,601.0,4.4
894,474.0,26.1
895,88.0,84.6
896,601.0,3.9
897,601.0,14.3
898,,
899,405.0,30.8
900,601.0,14.6
901,60.0,91.2
902,349.0,37.3
903,360.0,35.8
904,6.0,100.0
905,251.0,49.9
906,601.0,12.2
907,601.0,17.2
908,601.0,12.8
909,45.0,94.0
910,601.0,19.0
911,255.0,49.2
912,421.0,29.7
913,601.0,4.8
914,535.0,22.7
915,601.0,18.7
916,138.0,69.8
917,363.0,35.5
918,601.0,7.6
919,601.0,8.1
920,427.0,29.5
921,43.0,94.9
922,29.0,98.4
923,35.0,97.6
924,121.0,74.3
925,343.0,37.6
926,601.0,4.3
927,601.0,14.8
928,601.0,6.5
929,492.0,24.9
930,415.0,30.1
931,241.0,51.4
932,601.0,12.0
933,28.0,98.5
934,333.0,39.3
935,542.0,22.4
936,601.0,15.4
937,601.0,18.7
938,54.0,92.7
939,601.0,16.8
940,408.0,30.7
941,601.0,18.6
942,601.0,12.7
943,472.0,26.1
944,601.0,11.3
945,418.0,29.9
946,521.0,23.2
947,601.0,12.6
948,157.0,66.6
949,601.0,5.6
950,601.0,8.7
951,601.0,3.8
952,601.0,12.3
953,295.0,43.6
954,601.0,7.5
955,601.0,6.8
956,601.0,13.2
957,131.0,71.1
958,601.0,12.9
959,601.0,16.5
960,348.0,37.4
961,55.0,92.6
962,601.0,11.5
963,150.0,67.9
964,601.0,6.0
965,601.0,12.0
966,546.0,22.3
967,554.0,21.7
968,358.0,36.2
969,601.0,18.4
970,122.0,74.1
971,601.0,12.1
972,400.0,31.1
973,129.0,71.8
974,141.0,69.3
975,601.0,13.5
976,354.0,36.6
977,601.0,6.2
978,601.0,7.9
979,512.0,23.6
980,601.0,17.0
981,601.0,3.3
982,601.0,12.9
983,3.0,100.0
984,601.0,4.5
985,394.0,31.9
986,601.0,10.9
987,601.0,9.5
988,139.0,69.8
989,434.0,29.0
990,63.0,91.1
991,336.0,38.7
992,461.0,27.0
993,601.0,13.8
994,406.0,30.8
995,601.0,7.0
996,166.0,65.6
997,601.0,4.3
998,601.0,4.0
999,601.0,4.2
1000,601.0,6.8
1001,601.0,9.7
1002,601.0,6.2
1003,601.0,9.6
1004,601.0,12.5
1005,404.0,30.9
1006,601.0,4.3
1007,259.0,49.1
1008,436.0,28.9
1009,493.0,24.9
1010,601.0,11.2
1011,601.0,9.1
1012,601.0,3.2
1013,601.0,3.8
1014,526.0,23.1
1015,601.0,14.2
1016,588.0,20.1
1017,601.0,8.1
1018,90.0,83.7
1019,601.0,16.5
1020,601.0,7.3
1021,601.0,4.3
1022,92.0,83.5
1023,601.0,4.9
1024,451.0,28.0
1025,576.0,20.6
1026,189.0,60.2
1027,380.0,33.5
1028,383.0,33.3
1029,75.0,89.2
1030,601.0,9.1
1031,601.0,4.9
1032,601.0,6.6
1033,171.0,64.3
1034,601.0,18.1
1035,601.0,2.4
1036,455.0,27.7
1037,601.0,4.0
1038,456.0,27.7
1039,601.0,8.3
1040,601.0,12.3
1041,272.0,46.8
1042,14.0,99.6
1043,601.0,15.0
1044,601.0,5.3
1045,601.0,16.6
1046,431.0,29.4
1047,601.0,7.4
1048,163.0,65.7
1049,601.0,5.6
1050,252.0,49.7
1051,462.0,27.0
1052,601.0,15.5
1053,188.0,60.8
1054,601.0,9.7
1055,191.0,59.3
1056,601.0,12.3
1057,42.0,95.3
1058,439.0,28.8
1059,543.0,22.4
1060,601.0,7.5
1061,520.0,23.3
1062,89.0,84.1
1063,567.0,21.0
1064,601.0,4.1
1065,601.0,14.1
1066,601.0,2.3
1067,350.0,37.2
1068,22.0,99.0
1069,601.0,8.6
1070,514.0,23.5
1071,382.0,33.4
1072,297.0,43.0
1073,601.0,3.9
1074,601.0,18.0
1075,601.0,19.1
1076,601.0,5.9
1077,601.0,4.9
1078,125.0,73.1
1079,356.0,36.3
1080,133.0,70.7
1081,372.0,34.3
1082,156.0,66.7
1083,177.0,63.4
1084,577.0,20.5
1085,601.0,5.4
1086,601.0,5.9
1087,601.0,9.7
1088,574.0,20.7
1089,158.0,66.4
1090,601.0,19.1
1091,601.0,12.2
1092,161.0,65.9
1093,601.0,10.5
1094,480.0,25.7
1095,601.0,3.8
1096,601.0,14.5
1097,97.0,82.0
1098,114.0,77.8
1099,164.0,65.7
1100,154.0,67.0
1101,134.0,70.6
1102,329.0,39.7
1103,601.0,2.5
1104,601.0,7.6
1105,,
1106,261.0,48.7
1107,601.0,9.0
1108,56.0,92.5
1109,601.0,10.1
1110,209.0,55.8
1111,601.0,7.8
1112,601.0,10.9
1113,601.0,2.7
1114,601.0,4.6
1115,601.0,5.2
1116,601.0,6.3
1117,601.0,5.6
1118,601.0,6.0
1119,384.0,33.0
1120,601.0,7.9
1121,601.0,18.1
1122,204.0,56.5
1123,345.0,37.6
1124,601.0,14.0
1125,357.0,36.3
1126,601.0,4.5
1127,334.0,38.9
1128,601.0,4.6
1129,367.0,35.1
1130,548.0,22.1
1131,426.0,29.5
1132,391.0,32.5
1133,601.0,19.0
1134,601.0,15.2
1135,601.0,17.0
1136,2.0,100.0
1137,601.0,8.0
1138,218.0,54.5
1139,79.0,87.6
1140,601.0,14.6
1141,601.0,9.9
1142,601.0,13.7
1143,374.0,33.9
1144,471.0,26.3
1145,601.0,16.6
1146,601.0,15.4
1147,199.0,57.1
