university_id,international Research Network rank,international Research Network score
1089,601.0,2.2
1090,601.0,49.6
1091,288.0,82.0
1092,11.0,99.1
1093,601.0,10.3
1094,81.0,94.7
1095,423.0,73.0
1096,32.0,97.4
1097,378.0,75.6
1098,396.0,74.9
1099,601.0,49.4
1100,601.0,57.2
1101,601.0,55.1
1102,601.0,45.3
1103,601.0,8.5
1104,284.0,82.2
1105,387.0,75.2
1106,601.0,26.4
1107,601.0,35.1
1108,107.0,93.2
1109,146.0,90.7
1110,601.0,11.7
1111,476.0,68.3
1112,601.0,44.7
1113,601.0,22.0
1114,601.0,34.8
1115,601.0,12.1
1116,149.0,90.6
1117,335.0,79.0
1118,26.0,97.8
1119,325.0,79.7
1120,210.0,87.1
1121,601.0,23.0
1122,44.0,96.8
1123,86.0,94.6
1124,601.0,44.8
1125,601.0,34.0
1126,424.0,73.0
1127,249.0,84.5
1128,66.0,95.3
1129,123.0,92.0
1130,435.0,72.5
1131,601.0,14.9
1132,601.0,10.1
1133,179.0,89.3
1134,358.0,77.3
1135,286.0,82.2
1136,601.0,8.5
1137,601.0,37.1
1138,601.0,46.0
1139,601.0,51.9
1140,350.0,77.8
1141,541.0,62.5
1142,515.0,64.7
1143,319.0,80.3
1144,19.0,98.1
1145,290.0,82.0
1146,601.0,43.9
1147,601.0,6.9
