university_id,international faculty rank,international faculty score
1029,515.0,10.0
1030,601.0,2.3
1031,601.0,3.9
1032,228.0,70.6
1033,115.0,98.3
1034,123.0,97.0
1035,601.0,1.8
1036,50.0,100.0
1037,601.0,2.8
1038,249.0,63.1
1039,,
1040,145.0,94.1
1041,601.0,1.6
1042,601.0,1.7
1043,601.0,1.2
1044,601.0,1.3
1045,,
1046,601.0,2.8
1047,22.0,100.0
1048,208.0,76.9
1049,601.0,2.8
1050,601.0,2.6
1051,88.0,99.5
1052,601.0,3.3
1053,601.0,1.0
1054,9.0,100.0
1055,601.0,1.1
1056,261.0,57.5
1057,454.0,15.2
1058,601.0,1.9
1059,601.0,1.5
1060,590.0,6.2
1061,37.0,100.0
1062,,
1063,456.0,15.1
1064,601.0,2.2
1065,,
1066,426.0,17.6
1067,601.0,1.5
1068,601.0,1.1
1069,601.0,5.2
1070,,
1071,69.0,100.0
1072,269.0,56.0
1073,435.0,17.0
1074,601.0,1.6
1075,297.0,46.0
1076,601.0,2.9
1077,513.0,10.2
1078,344.0,35.0
1079,511.0,10.2
1080,601.0,1.3
1081,601.0,1.2
1082,601.0,3.6
1083,341.0,36.0
1084,601.0,4.8
1085,402.0,21.9
1086,58.0,100.0
1087,91.0,99.3
1088,601.0,1.4
1089,537.0,8.6
1090,132.0,95.7
1091,77.0,99.8
1092,167.0,90.3
1093,570.0,7.0
1094,131.0,95.8
1095,368.0,28.9
1096,495.0,11.5
1097,303.0,44.7
1098,222.0,72.2
1099,366.0,29.2
1100,174.0,89.1
1101,601.0,2.9
1102,423.0,18.0
1103,601.0,1.6
1104,141.0,94.5
1105,284.0,50.7
1106,601.0,1.8
1107,601.0,1.2
1108,286.0,50.5
1109,166.0,90.5
1110,81.0,99.7
1111,268.0,56.3
1112,601.0,4.4
1113,601.0,2.4
1114,601.0,3.4
1115,601.0,1.2
1116,525.0,9.4
1117,401.0,21.9
1118,190.0,83.9
1119,418.0,19.1
1120,381.0,26.5
1121,134.0,95.7
1122,514.0,10.0
1123,39.0,100.0
1124,601.0,1.8
1125,601.0,3.3
1126,231.0,70.2
1127,601.0,1.0
1128,43.0,100.0
1129,177.0,87.9
1130,496.0,11.4
1131,601.0,1.2
1132,601.0,1.5
1133,601.0,2.6
1134,362.0,30.1
1135,576.0,6.8
1136,601.0,2.0
1137,601.0,1.3
