university_id,overall rank,overall score
1051,68,68.0
1052,219,43.0
1053,1155,
1054,231,41.6
1055,1369,
1056,556,21.3
1057,1197,
1058,694,
1059,1235,
1060,169,49.1
1061,549,21.5
1062,599,19.8
1063,550,21.4
1064,324,32.8
1065,757,
1066,886,
1067,729,
1068,1334,
1069,763,
1070,930,
1071,89,62.0
1072,303,34.5
1073,63,69.2
1074,565,20.9
1075,932,
1076,94,61.4
1077,229,41.7
1078,655,
1079,810,
1080,1041,
1081,759,
1082,493,23.5
1083,462,25.0
1084,832,
1085,356,30.9
1086,327,32.7
1087,22,86.1
1088,389,28.3
1089,777,
1090,594,19.9
1091,221,42.7
1092,61,70.1
1093,1210,
1094,76,65.2
1095,867,
1096,294,35.6
1097,526,22.5
1098,390,28.3
1099,578,20.5
1100,146,51.9
1101,1184,
1102,699,
1103,739,
1104,192,46.8
1105,571,20.8
1106,875,
1107,941,
1108,136,52.7
1109,204,45.2
1110,527,22.4
1111,471,24.6
1112,686,
1113,1342,
1114,1038,
1115,1205,
1116,558,21.1
1117,452,25.7
1118,75,65.5
1119,657,
1120,314,33.5
1121,589,20.1
1122,83,63.1
1123,34,81.5
1124,975,
1125,911,
1126,573,20.7
1127,532,22.1
1128,128,54.8
1129,16,87.7
1130,721,
1131,1084,
1132,1345,
1133,200,45.9
1134,442,25.9
1135,691,
1136,939,
1137,1360,
1138,214,44.0
1139,373,29.9
1140,350,31.3
1141,1024,
1142,415,27.1
1143,602,19.8
1144,101,60.4
1145,707,
1146,887,
1147,1408,
